date,time,srcMAC,srcIP,destMAC,destIP,len
2020-3-23,22:36:01,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:01,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:01,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:01,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:01,6C-2C-DC-E3-5F-84,223-166-151-92,00-BB-60-7A-FF-30,192-168-100-5,129
2020-3-23,22:36:02,6C-2C-DC-E3-5F-84,223-166-151-92,00-BB-60-7A-FF-30,192-168-100-5,129
2020-3-23,22:36:02,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:02,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:02,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:02,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:03,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:03,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:03,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:03,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:04,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,14-18-160-56,71
2020-3-23,22:36:04,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:04,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:04,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:04,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:05,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:05,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:05,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:05,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:06,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:06,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:06,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:06,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:07,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,59-36-120-122,125
2020-3-23,22:36:07,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,14-18-160-56,71
2020-3-23,22:36:07,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:07,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:07,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:07,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:08,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,14-18-160-56,71
2020-3-23,22:36:08,6C-2C-DC-E3-5F-84,14-18-160-56,00-BB-60-7A-FF-30,192-168-100-5,71
2020-3-23,22:36:08,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:08,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:08,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:08,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,192-168-100-254,73
2020-3-23,22:36:09,6C-2C-DC-E3-5F-84,192-168-100-254,00-BB-60-7A-FF-30,192-168-100-5,120
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,192-168-100-254,76
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,192-168-100-254,85
2020-3-23,22:36:09,6C-2C-DC-E3-5F-84,192-168-100-254,00-BB-60-7A-FF-30,192-168-100-5,428
2020-3-23,22:36:09,6C-2C-DC-E3-5F-84,192-168-100-254,00-BB-60-7A-FF-30,192-168-100-5,262
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,192-168-100-254,77
2020-3-23,22:36:09,6C-2C-DC-E3-5F-84,192-168-100-254,00-BB-60-7A-FF-30,192-168-100-5,282
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,192-168-100-254,73
2020-3-23,22:36:09,6C-2C-DC-E3-5F-84,192-168-100-254,00-BB-60-7A-FF-30,192-168-100-5,120
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:09,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:10,6C-2C-DC-E3-5F-84,223-166-151-92,00-BB-60-7A-FF-30,192-168-100-5,129
2020-3-23,22:36:10,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,192-168-100-254,77
2020-3-23,22:36:10,6C-2C-DC-E3-5F-84,192-168-100-254,00-BB-60-7A-FF-30,192-168-100-5,300
2020-3-23,22:36:10,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,14-18-160-56,71
2020-3-23,22:36:10,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:10,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
2020-3-23,22:36:10,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:10,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-50,124
2020-3-23,22:36:11,00-BB-60-7A-FF-30,192-168-100-5,6C-2C-DC-E3-5F-84,103-242-215-146,124
